"id","task","inducer","right","left","key","congruent_rating","congruent_exp"
502,"timbre","pitch","sine:low","sine:high","1",1,NA
502,"complexity","lightness","simple:light","simple:dark","0",NA,NA
502,"complexity","timbre","simple:square","simple:sine","0",NA,NA
502,"shape","complexity","smooth:complex","smooth:simple","-1",0,NA
502,"lightness","timbre","dark:sine","dark:square","3",0,1
502,"shape","pitch","smooth:low","smooth:high","2",1,1
502,"shape","hue","smooth:blue","smooth:red","1",1,NA
502,"complexity","hue","simple:blue","simple:red","0",NA,NA
502,"hue","pitch","red:low","red:high","-1",0,NA
502,"shape","lightness","smooth:light","smooth:dark","0",NA,NA
502,"complexity","pitch","simple:low","simple:high","-2",0,NA
502,"shape","timbre","smooth:sine","smooth:square","3",0,1
502,"hue","lightness","red:light","red:dark","0",NA,NA
502,"lightness","pitch","dark:low","dark:high","3",1,1
502,"hue","timbre","red:square","red:sine","1",1,NA
502,"timbre","pitch","sine:low","sine:high","-1",0,NA
502,"complexity","lightness","simple:light","simple:dark","0",NA,NA
502,"complexity","timbre","simple:square","simple:sine","-1",0,NA
502,"shape","complexity","smooth:complex","smooth:simple","-1",0,NA
502,"lightness","timbre","dark:sine","dark:square","3",0,1
502,"shape","pitch","smooth:low","smooth:high","1",1,1
502,"shape","hue","smooth:blue","smooth:red","-1",0,NA
502,"complexity","hue","simple:blue","simple:red","0",NA,NA
502,"hue","pitch","red:low","red:high","-1",0,NA
502,"shape","lightness","smooth:light","smooth:dark","-1",0,NA
502,"complexity","pitch","simple:low","simple:high","0",NA,NA
502,"shape","timbre","smooth:sine","smooth:square","2",0,1
502,"hue","lightness","red:light","red:dark","0",NA,NA
502,"lightness","pitch","dark:low","dark:high","2",1,1
502,"hue","timbre","red:square","red:sine","0",NA,NA
502,"timbre","pitch","sine:low","sine:high","-1",0,NA
502,"complexity","lightness","simple:light","simple:dark","0",NA,NA
502,"complexity","timbre","simple:square","simple:sine","0",NA,NA
502,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
502,"lightness","timbre","dark:sine","dark:square","2",0,1
502,"shape","pitch","smooth:low","smooth:high","2",1,1
502,"shape","hue","smooth:blue","smooth:red","0",NA,NA
502,"complexity","hue","simple:blue","simple:red","-1",0,NA
502,"hue","pitch","red:low","red:high","-1",0,NA
502,"shape","lightness","smooth:light","smooth:dark","-1",0,NA
503,"lightness","timbre","dark:sine","dark:square","3",0,1
503,"complexity","hue","simple:blue","simple:red","2",1,NA
503,"timbre","pitch","sine:low","sine:high","0",NA,NA
503,"complexity","pitch","simple:low","simple:high","3",1,NA
503,"shape","lightness","smooth:light","smooth:dark","0",NA,NA
503,"shape","pitch","smooth:low","smooth:high","3",1,1
503,"hue","pitch","red:low","red:high","-2",0,NA
503,"shape","hue","smooth:blue","smooth:red","0",NA,NA
503,"hue","lightness","red:light","red:dark","1",1,NA
503,"complexity","timbre","simple:square","simple:sine","-3",0,NA
503,"shape","timbre","smooth:sine","smooth:square","3",0,1
503,"complexity","lightness","simple:light","simple:dark","-1",0,NA
503,"shape","complexity","smooth:complex","smooth:simple","-3",0,NA
503,"hue","timbre","red:square","red:sine","3",1,NA
503,"lightness","pitch","dark:low","dark:high","3",1,1
503,"lightness","timbre","dark:sine","dark:square","3",0,1
503,"complexity","hue","simple:blue","simple:red","1",1,NA
503,"timbre","pitch","sine:low","sine:high","1",1,NA
503,"complexity","pitch","simple:low","simple:high","3",1,NA
503,"shape","lightness","smooth:light","smooth:dark","-1",0,NA
503,"shape","pitch","smooth:low","smooth:high","3",1,1
503,"hue","pitch","red:low","red:high","-1",0,NA
503,"shape","hue","smooth:blue","smooth:red","2",1,NA
503,"hue","lightness","red:light","red:dark","1",1,NA
503,"complexity","timbre","simple:square","simple:sine","-1",0,NA
503,"shape","timbre","smooth:sine","smooth:square","3",0,1
503,"complexity","lightness","simple:light","simple:dark","-2",0,NA
503,"shape","complexity","smooth:complex","smooth:simple","-3",0,NA
503,"hue","timbre","red:square","red:sine","1",1,NA
503,"lightness","pitch","dark:low","dark:high","3",1,1
503,"lightness","timbre","dark:sine","dark:square","2",0,1
503,"complexity","hue","simple:blue","simple:red","2",1,NA
503,"timbre","pitch","sine:low","sine:high","1",1,NA
503,"complexity","pitch","simple:low","simple:high","3",1,NA
503,"shape","lightness","smooth:light","smooth:dark","-2",0,NA
503,"shape","pitch","smooth:low","smooth:high","3",1,1
503,"hue","pitch","red:low","red:high","-1",0,NA
503,"shape","hue","smooth:blue","smooth:red","1",1,NA
503,"hue","lightness","red:light","red:dark","1",1,NA
503,"complexity","timbre","simple:square","simple:sine","-3",0,NA
503,"shape","timbre","smooth:sine","smooth:square","3",0,1
503,"complexity","lightness","simple:light","simple:dark","-2",0,NA
503,"shape","complexity","smooth:complex","smooth:simple","-3",0,NA
503,"hue","timbre","red:square","red:sine","1",1,NA
503,"lightness","pitch","dark:low","dark:high","3",1,1
504,"hue","lightness","red:light","red:dark","-1",0,NA
504,"complexity","timbre","simple:square","simple:sine","-2",0,NA
504,"shape","hue","smooth:blue","smooth:red","0",NA,NA
504,"hue","pitch","red:low","red:high","2",1,NA
504,"shape","lightness","smooth:light","smooth:dark","0",NA,NA
504,"complexity","lightness","simple:light","simple:dark","1",1,NA
504,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
504,"shape","timbre","smooth:sine","smooth:square","3",0,1
504,"lightness","timbre","dark:sine","dark:square","3",0,1
504,"complexity","pitch","simple:low","simple:high","1",1,NA
504,"shape","pitch","smooth:low","smooth:high","3",1,1
504,"timbre","pitch","sine:low","sine:high","2",1,NA
504,"complexity","hue","simple:blue","simple:red","-1",0,NA
504,"hue","timbre","red:square","red:sine","-2",0,NA
504,"lightness","pitch","dark:low","dark:high","3",1,1
504,"hue","lightness","red:light","red:dark","-1",0,NA
504,"complexity","timbre","simple:square","simple:sine","-1",0,NA
504,"shape","hue","smooth:blue","smooth:red","0",NA,NA
504,"hue","pitch","red:low","red:high","2",1,NA
504,"shape","lightness","smooth:light","smooth:dark","0",NA,NA
504,"complexity","lightness","simple:light","simple:dark","0",NA,NA
504,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
504,"shape","timbre","smooth:sine","smooth:square","3",0,1
504,"lightness","timbre","dark:sine","dark:square","3",0,1
504,"complexity","pitch","simple:low","simple:high","2",1,NA
504,"shape","pitch","smooth:low","smooth:high","2",1,1
504,"timbre","pitch","sine:low","sine:high","3",1,NA
504,"complexity","hue","simple:blue","simple:red","0",NA,NA
504,"hue","timbre","red:square","red:sine","-3",0,NA
504,"lightness","pitch","dark:low","dark:high","3",1,1
504,"hue","lightness","red:light","red:dark","-1",0,NA
504,"complexity","timbre","simple:square","simple:sine","-2",0,NA
504,"shape","hue","smooth:blue","smooth:red","0",NA,NA
504,"hue","pitch","red:low","red:high","3",1,NA
504,"shape","lightness","smooth:light","smooth:dark","1",1,NA
504,"complexity","lightness","simple:light","simple:dark","1",1,NA
504,"shape","complexity","smooth:complex","smooth:simple","-3",0,NA
504,"shape","timbre","smooth:sine","smooth:square","3",0,1
504,"lightness","timbre","dark:sine","dark:square","3",0,1
504,"complexity","pitch","simple:low","simple:high","2",1,NA
504,"shape","pitch","smooth:low","smooth:high","2",1,1
504,"timbre","pitch","sine:low","sine:high","3",1,NA
504,"complexity","hue","simple:blue","simple:red","0",NA,NA
504,"hue","timbre","red:square","red:sine","-3",0,NA
504,"lightness","pitch","dark:low","dark:high","3",1,1
505,"complexity","timbre","simple:square","simple:sine","-3",0,NA
505,"shape","hue","smooth:blue","smooth:red","-1",0,NA
505,"shape","complexity","smooth:complex","smooth:simple","1",1,NA
505,"shape","lightness","smooth:light","smooth:dark","1",1,NA
505,"shape","timbre","smooth:sine","smooth:square","3",0,1
505,"shape","pitch","smooth:low","smooth:high","3",1,1
505,"complexity","hue","simple:blue","simple:red","0",NA,NA
505,"hue","pitch","red:low","red:high","0",NA,NA
505,"hue","timbre","red:square","red:sine","0",NA,NA
505,"complexity","lightness","simple:light","simple:dark","0",NA,NA
505,"lightness","pitch","dark:low","dark:high","3",1,1
505,"complexity","pitch","simple:low","simple:high","2",1,NA
505,"timbre","pitch","sine:low","sine:high","-2",0,NA
505,"lightness","timbre","dark:sine","dark:square","2",0,1
505,"hue","lightness","red:light","red:dark","-2",0,NA
505,"complexity","timbre","simple:square","simple:sine","-2",0,NA
505,"shape","hue","smooth:blue","smooth:red","0",NA,NA
505,"shape","complexity","smooth:complex","smooth:simple","2",1,NA
505,"shape","lightness","smooth:light","smooth:dark","0",NA,NA
505,"shape","timbre","smooth:sine","smooth:square","3",0,1
505,"shape","pitch","smooth:low","smooth:high","3",1,1
505,"complexity","hue","simple:blue","simple:red","0",NA,NA
505,"hue","pitch","red:low","red:high","1",1,NA
505,"hue","timbre","red:square","red:sine","0",NA,NA
505,"complexity","lightness","simple:light","simple:dark","0",NA,NA
505,"lightness","pitch","dark:low","dark:high","3",1,1
505,"complexity","pitch","simple:low","simple:high","2",1,NA
505,"timbre","pitch","sine:low","sine:high","-2",0,NA
505,"lightness","timbre","dark:sine","dark:square","2",0,1
505,"hue","lightness","red:light","red:dark","-2",0,NA
505,"complexity","timbre","simple:square","simple:sine","-1",0,NA
505,"shape","hue","smooth:blue","smooth:red","-1",0,NA
505,"shape","complexity","smooth:complex","smooth:simple","1",1,NA
505,"shape","lightness","smooth:light","smooth:dark","0",NA,NA
505,"shape","timbre","smooth:sine","smooth:square","3",0,1
505,"shape","pitch","smooth:low","smooth:high","0",NA,1
505,"complexity","hue","simple:blue","simple:red","0",NA,NA
505,"hue","pitch","red:low","red:high","1",1,NA
505,"hue","timbre","red:square","red:sine","0",NA,NA
505,"complexity","lightness","simple:light","simple:dark","0",NA,NA
505,"lightness","pitch","dark:low","dark:high","3",1,1
505,"complexity","pitch","simple:low","simple:high","1",1,NA
505,"timbre","pitch","sine:low","sine:high","-3",0,NA
505,"lightness","timbre","dark:sine","dark:square","2",0,1
505,"hue","lightness","red:light","red:dark","-2",0,NA
506,"shape","lightness","smooth:light","smooth:dark","2",1,NA
506,"lightness","timbre","dark:sine","dark:square","3",0,1
506,"shape","hue","smooth:blue","smooth:red","-3",0,NA
506,"hue","lightness","red:light","red:dark","0",NA,NA
506,"lightness","pitch","dark:low","dark:high","3",1,1
506,"hue","timbre","red:square","red:sine","3",1,NA
506,"complexity","lightness","simple:light","simple:dark","3",1,NA
506,"shape","pitch","smooth:low","smooth:high","2",1,1
506,"complexity","pitch","simple:low","simple:high","1",1,NA
506,"complexity","hue","simple:blue","simple:red","1",1,NA
506,"shape","complexity","smooth:complex","smooth:simple","-3",0,NA
506,"complexity","timbre","simple:square","simple:sine","-3",0,NA
506,"shape","timbre","smooth:sine","smooth:square","3",0,1
506,"timbre","pitch","sine:low","sine:high","3",1,NA
506,"hue","pitch","red:low","red:high","-2",0,NA
506,"shape","lightness","smooth:light","smooth:dark","0",NA,NA
506,"lightness","timbre","dark:sine","dark:square","3",0,1
506,"shape","hue","smooth:blue","smooth:red","2",1,NA
506,"hue","lightness","red:light","red:dark","1",1,NA
506,"lightness","pitch","dark:low","dark:high","3",1,1
506,"hue","timbre","red:square","red:sine","1",1,NA
506,"complexity","lightness","simple:light","simple:dark","-3",0,NA
506,"shape","pitch","smooth:low","smooth:high","3",1,1
506,"complexity","pitch","simple:low","simple:high","3",1,NA
506,"complexity","hue","simple:blue","simple:red","-1",0,NA
506,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
506,"complexity","timbre","simple:square","simple:sine","-2",0,NA
506,"shape","timbre","smooth:sine","smooth:square","3",0,1
506,"timbre","pitch","sine:low","sine:high","3",1,NA
506,"hue","pitch","red:low","red:high","-3",0,NA
506,"shape","lightness","smooth:light","smooth:dark","0",NA,NA
506,"lightness","timbre","dark:sine","dark:square","2",0,1
506,"shape","hue","smooth:blue","smooth:red","-1",0,NA
506,"hue","lightness","red:light","red:dark","-1",0,NA
506,"lightness","pitch","dark:low","dark:high","3",1,1
506,"hue","timbre","red:square","red:sine","3",1,NA
506,"complexity","lightness","simple:light","simple:dark","-3",0,NA
506,"shape","pitch","smooth:low","smooth:high","3",1,1
506,"complexity","pitch","simple:low","simple:high","3",1,NA
506,"complexity","hue","simple:blue","simple:red","-2",0,NA
506,"shape","complexity","smooth:complex","smooth:simple","-3",0,NA
506,"complexity","timbre","simple:square","simple:sine","-3",0,NA
506,"shape","timbre","smooth:sine","smooth:square","3",0,1
506,"timbre","pitch","sine:low","sine:high","3",1,NA
506,"hue","pitch","red:low","red:high","-1",0,NA
507,"hue","timbre","red:square","red:sine","1",1,NA
507,"lightness","timbre","dark:sine","dark:square","2",0,1
507,"complexity","timbre","simple:square","simple:sine","-3",0,NA
507,"hue","pitch","red:low","red:high","-2",0,NA
507,"lightness","pitch","dark:low","dark:high","3",1,1
507,"complexity","hue","simple:blue","simple:red","1",1,NA
507,"shape","timbre","smooth:sine","smooth:square","3",0,1
507,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
507,"hue","lightness","red:light","red:dark","1",1,NA
507,"shape","pitch","smooth:low","smooth:high","3",1,1
507,"complexity","pitch","simple:low","simple:high","3",1,NA
507,"shape","lightness","smooth:light","smooth:dark","-2",0,NA
507,"complexity","lightness","simple:light","simple:dark","-2",0,NA
507,"shape","hue","smooth:blue","smooth:red","2",1,NA
507,"timbre","pitch","sine:low","sine:high","1",1,NA
507,"hue","timbre","red:square","red:sine","2",1,NA
507,"lightness","timbre","dark:sine","dark:square","3",0,1
507,"complexity","timbre","simple:square","simple:sine","-3",0,NA
507,"hue","pitch","red:low","red:high","-3",0,NA
507,"lightness","pitch","dark:low","dark:high","3",1,1
507,"complexity","hue","simple:blue","simple:red","2",1,NA
507,"shape","timbre","smooth:sine","smooth:square","3",0,1
507,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
507,"hue","lightness","red:light","red:dark","1",1,NA
507,"shape","pitch","smooth:low","smooth:high","2",1,1
507,"complexity","pitch","simple:low","simple:high","3",1,NA
507,"shape","lightness","smooth:light","smooth:dark","-2",0,NA
507,"complexity","lightness","simple:light","simple:dark","-2",0,NA
507,"shape","hue","smooth:blue","smooth:red","2",1,NA
507,"timbre","pitch","sine:low","sine:high","1",1,NA
507,"hue","timbre","red:square","red:sine","2",1,NA
507,"lightness","timbre","dark:sine","dark:square","2",0,1
507,"complexity","timbre","simple:square","simple:sine","-2",0,NA
507,"hue","pitch","red:low","red:high","-2",0,NA
507,"lightness","pitch","dark:low","dark:high","3",1,1
507,"complexity","hue","simple:blue","simple:red","2",1,NA
507,"shape","timbre","smooth:sine","smooth:square","2",0,1
507,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
507,"hue","lightness","red:light","red:dark","1",1,NA
507,"shape","pitch","smooth:low","smooth:high","2",1,1
507,"complexity","pitch","simple:low","simple:high","2",1,NA
507,"shape","lightness","smooth:light","smooth:dark","-2",0,NA
507,"complexity","lightness","simple:light","simple:dark","-2",0,NA
507,"shape","hue","smooth:blue","smooth:red","2",1,NA
507,"timbre","pitch","sine:low","sine:high","0",NA,NA
508,"lightness","pitch","dark:low","dark:high","3",1,1
508,"complexity","timbre","simple:square","simple:sine","-2",0,NA
508,"shape","lightness","smooth:light","smooth:dark","3",1,NA
508,"timbre","pitch","sine:low","sine:high","2",1,NA
508,"shape","hue","smooth:blue","smooth:red","0",NA,NA
508,"hue","lightness","red:light","red:dark","1",1,NA
508,"shape","timbre","smooth:sine","smooth:square","-3",1,1
508,"complexity","hue","simple:blue","simple:red","0",NA,NA
508,"shape","pitch","smooth:low","smooth:high","-1",0,1
508,"complexity","lightness","simple:light","simple:dark","2",1,NA
508,"complexity","pitch","simple:low","simple:high","-2",0,NA
508,"hue","pitch","red:low","red:high","-1",0,NA
508,"hue","timbre","red:square","red:sine","1",1,NA
508,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
508,"lightness","timbre","dark:sine","dark:square","2",0,1
508,"lightness","pitch","dark:low","dark:high","2",1,1
508,"complexity","timbre","simple:square","simple:sine","2",1,NA
508,"shape","lightness","smooth:light","smooth:dark","3",1,NA
508,"timbre","pitch","sine:low","sine:high","3",1,NA
508,"shape","hue","smooth:blue","smooth:red","0",NA,NA
508,"hue","lightness","red:light","red:dark","1",1,NA
508,"shape","timbre","smooth:sine","smooth:square","-2",1,1
508,"complexity","hue","simple:blue","simple:red","0",NA,NA
508,"shape","pitch","smooth:low","smooth:high","-1",0,1
508,"complexity","lightness","simple:light","simple:dark","2",1,NA
508,"complexity","pitch","simple:low","simple:high","-3",0,NA
508,"hue","pitch","red:low","red:high","-2",0,NA
508,"hue","timbre","red:square","red:sine","2",1,NA
508,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
508,"lightness","timbre","dark:sine","dark:square","3",0,1
508,"lightness","pitch","dark:low","dark:high","3",1,1
508,"complexity","timbre","simple:square","simple:sine","2",1,NA
508,"shape","lightness","smooth:light","smooth:dark","3",1,NA
508,"timbre","pitch","sine:low","sine:high","1",1,NA
508,"shape","hue","smooth:blue","smooth:red","0",NA,NA
508,"hue","lightness","red:light","red:dark","2",1,NA
508,"shape","timbre","smooth:sine","smooth:square","-2",1,1
508,"complexity","hue","simple:blue","simple:red","0",NA,NA
508,"shape","pitch","smooth:low","smooth:high","-3",0,1
508,"complexity","lightness","simple:light","simple:dark","2",1,NA
508,"complexity","pitch","simple:low","simple:high","-3",0,NA
508,"hue","pitch","red:low","red:high","-2",0,NA
508,"hue","timbre","red:square","red:sine","2",1,NA
508,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
508,"lightness","timbre","dark:sine","dark:square","3",0,1
511,"shape","timbre","smooth:sine","smooth:square","0",NA,1
511,"timbre","pitch","sine:low","sine:high","0",NA,NA
511,"lightness","timbre","dark:sine","dark:square","1",0,1
511,"shape","hue","smooth:blue","smooth:red","1",1,NA
511,"complexity","pitch","simple:low","simple:high","-1",0,NA
511,"hue","lightness","red:light","red:dark","1",1,NA
511,"shape","lightness","smooth:light","smooth:dark","1",1,NA
511,"complexity","timbre","simple:square","simple:sine","1",1,NA
511,"shape","pitch","smooth:low","smooth:high","1",1,1
511,"hue","pitch","red:low","red:high","-1",0,NA
511,"complexity","lightness","simple:light","simple:dark","1",1,NA
511,"complexity","hue","simple:blue","simple:red","-1",0,NA
511,"shape","complexity","smooth:complex","smooth:simple","-2",0,NA
511,"hue","timbre","red:square","red:sine","1",1,NA
511,"lightness","pitch","dark:low","dark:high","1",1,1
511,"shape","timbre","smooth:sine","smooth:square","1",0,1
511,"timbre","pitch","sine:low","sine:high","0",NA,NA
511,"lightness","timbre","dark:sine","dark:square","1",0,1
511,"shape","hue","smooth:blue","smooth:red","1",1,NA
511,"complexity","pitch","simple:low","simple:high","-1",0,NA
511,"hue","lightness","red:light","red:dark","1",1,NA
511,"shape","lightness","smooth:light","smooth:dark","1",1,NA
511,"complexity","timbre","simple:square","simple:sine","1",1,NA
511,"shape","pitch","smooth:low","smooth:high","1",1,1
511,"hue","pitch","red:low","red:high","-1",0,NA
511,"complexity","lightness","simple:light","simple:dark","1",1,NA
511,"complexity","hue","simple:blue","simple:red","1",1,NA
511,"shape","complexity","smooth:complex","smooth:simple","-1",0,NA
511,"hue","timbre","red:square","red:sine","1",1,NA
511,"lightness","pitch","dark:low","dark:high","1",1,1
511,"shape","timbre","smooth:sine","smooth:square","1",0,1
511,"timbre","pitch","sine:low","sine:high","1",1,NA
511,"lightness","timbre","dark:sine","dark:square","1",0,1
511,"shape","hue","smooth:blue","smooth:red","1",1,NA
511,"complexity","pitch","simple:low","simple:high","-1",0,NA
511,"hue","lightness","red:light","red:dark","1",1,NA
511,"shape","lightness","smooth:light","smooth:dark","-1",0,NA
511,"complexity","timbre","simple:square","simple:sine","1",1,NA
511,"shape","pitch","smooth:low","smooth:high","1",1,1
511,"hue","pitch","red:low","red:high","-1",0,NA
511,"complexity","lightness","simple:light","simple:dark","1",1,NA
511,"complexity","hue","simple:blue","simple:red","-1",0,NA
511,"shape","complexity","smooth:complex","smooth:simple","-1",0,NA
511,"hue","timbre","red:square","red:sine","1",1,NA
511,"lightness","pitch","dark:low","dark:high","1",1,1
512,"complexity","hue","simple:blue","simple:red","1",1,NA
512,"lightness","timbre","dark:sine","dark:square","1",0,1
512,"shape","timbre","smooth:sine","smooth:square","3",0,1
512,"lightness","pitch","dark:low","dark:high","2",1,1
512,"hue","timbre","red:square","red:sine","2",1,NA
512,"complexity","pitch","simple:low","simple:high","1",1,NA
512,"hue","lightness","red:light","red:dark","1",1,NA
512,"hue","pitch","red:low","red:high","1",1,NA
512,"shape","pitch","smooth:low","smooth:high","2",1,1
512,"shape","complexity","smooth:complex","smooth:simple","-1",0,NA
512,"shape","lightness","smooth:light","smooth:dark","-3",0,NA
512,"timbre","pitch","sine:low","sine:high","2",1,NA
512,"shape","hue","smooth:blue","smooth:red","3",1,NA
512,"complexity","lightness","simple:light","simple:dark","1",1,NA
512,"complexity","timbre","simple:square","simple:sine","-2",0,NA
512,"complexity","hue","simple:blue","simple:red","1",1,NA
512,"lightness","timbre","dark:sine","dark:square","3",0,1
512,"shape","timbre","smooth:sine","smooth:square","3",0,1
512,"lightness","pitch","dark:low","dark:high","3",1,1
512,"hue","timbre","red:square","red:sine","2",1,NA
512,"complexity","pitch","simple:low","simple:high","2",1,NA
512,"hue","lightness","red:light","red:dark","1",1,NA
512,"hue","pitch","red:low","red:high","1",1,NA
512,"shape","pitch","smooth:low","smooth:high","2",1,1
512,"shape","complexity","smooth:complex","smooth:simple","-1",0,NA
512,"shape","lightness","smooth:light","smooth:dark","-3",0,NA
512,"timbre","pitch","sine:low","sine:high","1",1,NA
512,"shape","hue","smooth:blue","smooth:red","1",1,NA
512,"complexity","lightness","simple:light","simple:dark","1",1,NA
512,"complexity","timbre","simple:square","simple:sine","-2",0,NA
512,"complexity","hue","simple:blue","simple:red","2",1,NA
512,"lightness","timbre","dark:sine","dark:square","2",0,1
512,"shape","timbre","smooth:sine","smooth:square","3",0,1
512,"lightness","pitch","dark:low","dark:high","2",1,1
512,"hue","timbre","red:square","red:sine","2",1,NA
512,"complexity","pitch","simple:low","simple:high","1",1,NA
512,"hue","lightness","red:light","red:dark","1",1,NA
512,"hue","pitch","red:low","red:high","-1",0,NA
512,"shape","pitch","smooth:low","smooth:high","2",1,1
512,"shape","complexity","smooth:complex","smooth:simple","-1",0,NA
512,"shape","lightness","smooth:light","smooth:dark","-3",0,NA
512,"timbre","pitch","sine:low","sine:high","2",1,NA
512,"shape","hue","smooth:blue","smooth:red","1",1,NA
512,"complexity","lightness","simple:light","simple:dark","-1",0,NA
512,"complexity","timbre","simple:square","simple:sine","-3",0,NA
513,"lightness","timbre","dark:sine","dark:square","3",0,1
513,"hue","pitch","red:low","red:high","-2",0,NA
513,"complexity","hue","simple:blue","simple:red","-1",0,NA
513,"complexity","timbre","simple:square","simple:sine","-3",0,NA
513,"complexity","pitch","simple:low","simple:high","2",1,NA
513,"lightness","pitch","dark:low","dark:high","2",1,1
513,"shape","complexity","smooth:complex","smooth:simple","1",1,NA
513,"hue","timbre","red:square","red:sine","3",1,NA
513,"complexity","lightness","simple:light","simple:dark","0",NA,NA
513,"shape","lightness","smooth:light","smooth:dark","-2",0,NA
513,"hue","lightness","red:light","red:dark","0",NA,NA
513,"shape","timbre","smooth:sine","smooth:square","1",0,1
513,"timbre","pitch","sine:low","sine:high","1",1,NA
513,"shape","hue","smooth:blue","smooth:red","-1",0,NA
513,"shape","pitch","smooth:low","smooth:high","2",1,1
513,"lightness","timbre","dark:sine","dark:square","3",0,1
513,"hue","pitch","red:low","red:high","-2",0,NA
513,"complexity","hue","simple:blue","simple:red","0",NA,NA
513,"complexity","timbre","simple:square","simple:sine","-2",0,NA
513,"complexity","pitch","simple:low","simple:high","2",1,NA
513,"lightness","pitch","dark:low","dark:high","3",1,1
513,"shape","complexity","smooth:complex","smooth:simple","1",1,NA
513,"hue","timbre","red:square","red:sine","3",1,NA
513,"complexity","lightness","simple:light","simple:dark","-2",0,NA
513,"shape","lightness","smooth:light","smooth:dark","-3",0,NA
513,"hue","lightness","red:light","red:dark","-1",0,NA
513,"shape","timbre","smooth:sine","smooth:square","2",0,1
513,"timbre","pitch","sine:low","sine:high","3",1,NA
513,"shape","hue","smooth:blue","smooth:red","-1",0,NA
513,"shape","pitch","smooth:low","smooth:high","1",1,1
513,"lightness","timbre","dark:sine","dark:square","2",0,1
513,"hue","pitch","red:low","red:high","-3",0,NA
513,"complexity","hue","simple:blue","simple:red","1",1,NA
513,"complexity","timbre","simple:square","simple:sine","-3",0,NA
513,"complexity","pitch","simple:low","simple:high","2",1,NA
513,"lightness","pitch","dark:low","dark:high","3",1,1
513,"shape","complexity","smooth:complex","smooth:simple","0",NA,NA
513,"hue","timbre","red:square","red:sine","1",1,NA
513,"complexity","lightness","simple:light","simple:dark","0",NA,NA
